GDP_Match,Sector,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
3,METALLURGICAL INDUSTRIES,102.28652,66.78322,177.81477,37.7115,904.11456,657.36504,767.95886,4819.39925,4203.57726,2026.34088,5005.32212,8373.42432,7901.51347,3300.76845
2,MINING,5.95056,30.79396,48.86142,109.182,44.75904,32.6192,29.91578,1821.43164,149.58664,841.6544,362.40658,668.7432,311.96921,74.02495
4,POWER,403.10536,3577.38912,287.09727,125.9685,195.68544,320.41752,710.16085,4052.59932,3974.64314,6137.65854,5796.72766,7746.35744,2886.77952,6199.2552
4,NON-CONVENTIONAL ENERGY,0,0,8.2569,19.251,5.73024,5.9508,11.02636,241.10318,551.22852,3004.28152,977.2352,2119.77296,5963.03628,2408.86375
2,COAL PRODUCTION,0,0,0,0.186,0,40.28912,5.8747,57.71392,0.96338,0,0,0,0,17.2124
4,PETROLEUM & NATURAL GAS,42.1498,996.88361,275.78046,374.976,463.74336,53.29272,396.36149,5759.25896,1529.54091,1281.44778,2536.20794,9516.54624,1157.5572,652.61745
3,BOILERS AND STEAM GENERATING PLANTS,0,0,0,0.186,2.43648,0,14.95789,6.18949,0,19.11096,2.87154,149.03152,108.04945,0.98855
3,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0,0,0,0,12.00192,3.26192,115.55083,166.13247,327.89952,190.627,758.63352,1470.86,994.8094,1237.3157
3,ELECTRICAL EQUIPMENTS,359.55808,310.58448,168.58647,340.38,439.4688,174.116,347.28515,2679.68026,1827.57565,3514.63102,701.4762,2655.23632,1055.54343,781.01265
9,COMPUTER SOFTWARE & HARDWARE,1029.58212,1980.77897,1526.26368,1712.688,2381.8848,5994.74776,11809.63827,5665.84275,6758.28586,4207.59636,3554.37398,3733.2888,2618.83844,6549.26005
9,ELECTRONICS,37.59672,58.89581,1437.08916,382.7415,397.5072,180.33128,190.43066,557.58697,645.94629,251.62764,272.20376,911.39408,206.07536,770.9527
7,TELECOMMUNICATIONS,801.02652,4124.26529,930.6012,402.1785,533.90496,2724.05584,2153.34869,5167.6093,11160.45077,12254.46876,7586.791,9363.06112,1637.55543,7599.91425
7,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),367.402,21.44242,177.2805,63.798,44.4432,246.53944,342.0883,1182.52051,3218.74016,2368.74558,1878.39738,3168.90048,2177.37156,2491.8438
7,AUTOMOBILE INDUSTRY,880.54764,1113.49448,2039.74572,553.7685,550.32864,616.81144,1178.19368,2689.3539,5035.98137,5966.33554,5922.71078,4326.97712,8284.40192,8822.9832
7,AIR TRANSPORT (INCLUDING AIR FREIGHT),0,0,18.4566,4.371,18.54432,45.27016,281.48851,406.12892,268.73923,114.42446,622.6228,146.35936,85.63121,267.19925
7,SEA TRANSPORT,10.86428,93.56263,142.40724,102.0675,166.7184,236.40104,327.71788,526.14764,219.86959,1374.6861,1369.72458,606.43968,348.23718,119.14935
7,PORTS,0,73.11204,9.85971,541.074,58.83648,2.204,0,3763.61982,2159.50385,315.66866,49.77336,0,0,1.80265
7,RAILWAY RELATED COMPONENTS,0,0,2.71992,13.7175,48.504,99.70896,116.68058,50.86859,78.86579,166.15918,322.06828,198.16176,160.86165,1377.74795
3,INDUSTRIAL MACHINERY,24.70384,151.32492,94.2258,14.787,40.11168,188.6624,117.31324,490.11743,484.05466,1649.91288,2132.77936,2909.65408,2715.13987,2775.9647
3,MACHINE TOOLS,6.40136,20.35613,68.82369,253.4715,49.81248,101.384,168.46832,233.11013,199.94514,645.86358,53.00954,599.45456,546.39071,375.1838
1,AGRICULTURAL MACHINERY,16.40912,4.91192,65.47236,221.061,0,408.66568,113.83361,27.54528,24.39103,9.07288,2.23342,12.98576,514.16449,283.6557
5,EARTH-MOVING MACHINERY,0,0.51953,66.88089,0.0465,0.4512,224.23496,4.47381,278.48606,9.94033,75.38212,8.06766,76.8832,27.4839,200.2686
3,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,200.606,289.9922,218.90499,105.6945,57.88896,225.77776,381.58436,865.50385,623.17549,721.92134,495.31786,6072.55392,482.04605,1675.47595
9,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",54.9976,23.00101,11.31681,48.4065,63.75456,112.58032,24.49298,40.29317,55.30677,381.15748,114.49696,136.13952,131.11437,122.87095
9,MEDICAL AND SURGICAL APPLIANCES,24.43336,200.01905,105.05691,9.1605,24.1392,6.70016,60.69017,53.98383,330.26418,807.6311,146.85876,663.86768,447.39478,1008.7862
3,INDUSTRIAL INSTRUMENTS,4.55308,23.94561,6.36267,1.395,4.87296,1.67504,0,9.14077,76.54492,36.72586,116.13784,18.70512,3.12562,3.08195
3,SCIENTIFIC INSTRUMENTS,36.37956,11.00459,0.92283,0.093,0.13536,0.4408,0.31633,0,3.63457,0,11.34942,33.19104,394.90592,262.1402
5,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0,0,0,0,0,0,0,5.20573,0,0,0,0,36.16019,0
1,FERTILIZERS,0,0,79.55766,100.347,60.73152,18.68992,22.64019,7.99305,585.69125,39.5732,82.86444,152.8288,229.30195,120.07975
3,CHEMICALS (OTHER THAN FERTILIZERS),501.01912,411.98729,622.27884,94.116,313.08768,1709.06976,627.46315,957.9363,2851.69238,1766.02644,10731.3552,18942.84848,1574.45024,4575.0094
3,PHOTOGRAPHIC RAW FILM AND PAPER,0,0,2.9142,1.116,27.79392,0,12.69839,224.87114,4.59795,0,3.69198,0,0,0
3,DYE-STUFFS,4.7334,0.85014,0,1.9995,5.32416,0,0,22.58549,5.12343,19.40052,24.47646,2.71904,0,0
9,DRUGS & PHARMACEUTICALS,162.01752,368.11062,194.61999,506.4315,1323.64032,760.11552,1013.1598,1395.09465,18596.56204,1028.32408,954.35404,15152.92864,6054.32594,7439.3621
3,"TEXTILES (INCLUDING DYED,PRINTED)",9.28648,24.93744,263.15226,43.431,194.19648,415.80664,573.4611,759.9546,689.78008,725.20302,590.9447,769.72272,559.86321,1156.3709
3,PAPER AND PULP (INCLUDING PAPER PRODUCTS),270.66032,78.8741,35.74752,33.2475,12.1824,120.69104,22.95652,128.05276,1193.32129,79.24292,29.76374,1909.6568,27.43001,156.1909
1,SUGAR,0,0,19.28229,0,13.26528,13.224,44.51215,41.27693,21.93879,0.4826,0.77486,20.81472,66.06914,17.9102
1,FERMENTATION INDUSTRIES,72.21816,52.14192,39.19599,7.905,627.168,748.61064,124.63402,1106.93495,633.6413,540.60852,263.04218,326.7536,577.75469,4736.7827
1,FOOD PROCESSING INDUSTRIES,206.241,1036.17897,179.12616,507.873,198.43776,183.98992,460.938,287.62683,449.76709,1345.92314,859.95786,797.94448,2163.46794,23160.50535
1,VEGETABLE OILS AND VANASPATI,0,0,0,7.8585,41.01408,54.26248,73.29818,6.27147,187.77152,336.56524,264.68306,304.81376,584.11371,125.31325
9,"SOAPS, COSMETICS & TOILET PREPARATIONS",0,0,0,0,4.01568,385.34736,27.29476,26.15162,96.46937,118.62308,469.0182,1041.11104,862.61723,630.5786
1,RUBBER GOODS,0.4508,219.09997,79.75194,29.6205,180.75072,150.26872,84.73125,61.97688,371.68952,116.40312,78.44318,878.39056,3460.70802,2154.6901
1,"LEATHER,LEATHER GOODS AND PICKERS",43.953,0.9446,0.04857,35.1075,1.98528,4.89288,37.32694,30.57854,14.53828,24.41956,42.20708,38.9104,251.6663,35.7041
3,GLUE AND GELATIN,0,4.43962,25.35354,0,0,0,0,9.34572,0,1.30302,0.04558,27.37792,0,5.64055
3,GLASS,152.68596,39.53151,218.46786,24.366,37.72032,3.57048,6.46217,45.25296,101.41764,13.65758,34.6408,151.04736,1127.16324,250.56835
3,CERAMICS,18.16724,3.68394,1.01997,6.8355,120.87648,24.99336,552.35737,471.83589,868.92497,34.79546,54.696,46.27056,23.33437,872.77335
5,CEMENT AND GYPSUM PRODUCTS,305.28176,660.7477,102.38556,44.547,0.72192,1992.76864,1095.72193,69.23211,3173.8992,163.1188,2906.54544,1255.9152,66.71582,1477.06815
1,TIMBER PRODUCTS,0,0.23615,0.19428,0.5115,0.31584,1.45464,0,1.59861,49.35133,31.56204,7.20164,138.7648,157.19713,35.8204
8,CONSULTANCY SERVICES,19.159,312.75706,124.8249,214.83,1138.91904,208.9392,518.23892,956.37868,1123.60761,1647.16206,1252.72072,1359.00432,766.96248,1662.21775
8,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",321.78104,887.68785,1439.32338,1260.8475,2058.1488,2418.27288,21301.57182,28636.31083,27077.50271,20146.28178,15023.57822,24452.51424,26044.92922,12938.9565
9,HOSPITAL & DIAGNOSTIC CENTRES,0,32.73039,141.48441,111.972,118.16928,143.39224,172.35466,990.97424,1049.69009,654.26082,1166.848,1455.29584,1384.21854,3980.8327
9,EDUCATION,0,0,0,0.8835,8.88864,13.92928,188.93939,178.67541,939.38308,305.7271,172.93052,495.14656,927.9858,1524.05335
6,HOTEL & TOURISM,59.5056,151.70276,163.92375,229.524,166.98912,316.40624,884.18754,1727.60553,2031.50568,3634.07452,1404.0919,4654.52768,17563.02045,2828.2997
8,TRADING,51.79692,204.36421,185.19741,144.708,64.16064,127.52344,518.10335,1414.23698,2818.49956,3561.3467,2270.06632,3429.5064,3868.2242,7811.81285
8,RETAIL TRADING,0,0,0,0,0,0,0,5.20573,0.39411,66.26098,119.73866,148.6096,120.22859,65.7095
1,AGRICULTURE SERVICES,78.98016,66.40538,53.47557,2.7435,17.28096,40.02464,56.62307,238.27487,23.42765,5898.43372,200.0962,229.80576,870.16183,529.22315
2,"DIAMOND,GOLD ORNAMENTS",84.88564,1.70028,6.3141,9.114,38.71296,68.41216,280.04243,242.45585,365.6465,149.99208,89.29122,170.1744,283.51529,247.4864
1,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),91.19684,0.66122,0,1.488,0.04512,6.30344,28.0178,77.63506,162.37332,39.3319,14.22096,24.94016,1.45503,34.0759
9,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0,0,30.5991,0,0.27072,43.6392,90.56076,145.67846,138.42019,340.28126,166.95954,222.16432,77.27826,661.6307
1,COIR,0,0,0,0,2.12064,2.60072,0.18076,0.04099,0,1.2065,0.4558,2.5784,0.80835,3.1401
5,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0,0,0,0,0,4.09944,289.48714,749.78908,756.2533,1566.32656,3076.96906,1810.88064,1529.88321,2822.42655
5,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",109.67964,244.41525,175.3377,218.736,686.09472,1008.15368,6294.74105,15934.16567,20395.23629,26379.54338,7580.09074,14723.97664,7180.78861,7129.48075
8,MISCELLANEOUS INDUSTRIES,3750.97156,1045.53051,1062.51732,1094.982,549.69696,726.26208,1377.70753,2165.99358,6786.1363,5538.12456,6727.47126,3813.12544,1236.72161,2725.7231
